verdict,id,name,city,vegan_level,osm_id,osm_diet_vegan,website_status,strong_hits,counter_hits,hc_listed,chain_hit,reasoning,slug
SUSPECT,b64747d2-edd7-4591-9c94-267697c99bc2,"Nonno",Saint-Gilles,fully_vegan,7581502876,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",nonno-saint-gilles
SUSPECT,b37e076e-1e06-4375-a88d-5de36a0dab4e,"La Boucherie",Saint-Gilles,fully_vegan,9809964784,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",la-boucherie-saint-gilles
SUSPECT,a2226d85-23fb-4bc9-af3e-26d4a1f17df2,"Raisu",Liège,fully_vegan,9105114617,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",raisu-liege
CONFIRMED,1cd89d25-9e67-4ea6-b591-ea149f42306c,"Have A Roll Brussels",Ixelles,fully_vegan,10567916337,only,200,"","100% vegan",no,,"OSM diet:vegan="only" | Website confirms vegan: 100% vegan",have-a-roll-brussels-ixelles
SUSPECT,aa608697-6660-4fd3-85ad-7bfbd7f4c45d,"Il Valori",Etterbeek,fully_vegan,11190607778,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",il-valori-etterbeek
SUSPECT,74338c76-ea54-4083-9234-4cab515e4745,"Les délices du Cèdre",Florenne,fully_vegan,13045358562,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",les-delices-du-cedre-florenne
CONFIRMED,df4e8c95-4495-446e-8b86-3ff29857c89d,"Verdō",Ixelles,fully_vegan,10182206965,only,200,"","",no,,"OSM diet:vegan="only"",verdo-ixelles
CONFIRMED,cfc28c2f-040e-4d07-897f-c01fbd81dae8,"Pita Cleopatra",Mortsel,fully_vegan,11110239411,only,(no website),"","",no,,"OSM diet:vegan="only" | No website to scan",pita-cleopatra-mortsel
SUSPECT,5a425c7d-b1dc-4ba7-ab66-f76063b92afa,"Salons Caipirinha",Lemberge,fully_vegan,3309267924,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",salons-caipirinha-lemberge
SUSPECT,a11bf69e-1f5a-4ca8-81fe-461352cbdf91,"La glacerie Chênée",Chenee,fully_vegan,8706534606,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",la-glacerie-chenee-chenee
SUSPECT,ca1e95cf-e578-436e-88c3-2e19dd8c1325,"Pizzeria Tutti",Etterbeek,fully_vegan,745608748,yes,fetch failed,"","",no,,"OSM diet:vegan="yes" | Website unreachable: fetch failed",pizzeria-tutti-etterbeek
CONFIRMED,bf05810f-8f1a-43f0-b765-b5128eeb79a2,"Taylor's",Saint-Gilles,fully_vegan,10079840715,only,200,"","",no,,"OSM diet:vegan="only"",taylor-s-saint-gilles
SUSPECT,a74818fe-052c-4f26-82a5-74f1e0ad98d7,"Bel'O",Molenbeek,fully_vegan,5033902222,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",bel-o-molenbeek
SUSPECT,95a243e9-245f-40c9-bb38-7b4978b2306f,"Pizza Mongers",Brussels,fully_vegan,10161609557,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",pizza-mongers-brussels
SUSPECT,cdeec926-014d-489b-9757-02eadc906e3b,"Kapa Specialty Coffee & Bakery",Schaerbeek,fully_vegan,10875386837,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",kapa-specialty-coffee-and-bakery-schaerbeek
SUSPECT,b236fe5d-25d8-4d4c-868b-7a091b39b61f,"Pure Veg India",Brussels,fully_vegan,11384812269,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",pure-veg-india-brussels-nx2o
