web_suspicion,db_score,id,slug,name,city,country,source,website,top_hits
"5","5","6472e01b-14dc-473b-8bfa-4344d70178a6","ayers-wok-yulara","Ayers Wok","Yulara","Australia","openstreetmap","https://www.ayersrockresort.com.au/dining/ayers-wok-noodle-bar","pork:2,chicken:2,lamb:2,prawn:1,fish:1"
"5","5","7e130ac9-9f82-478c-8663-2f1da568d4f7","raja-rani-heidelberg","Raja Rani","Heidelberg","Germany","osm-import-2026-04","https://www.rajaraniheidelberg.de/","chicken:3,lamm:3,lachs:2,hähnchen:1,fisch:1"
"5","5","e5e83ebb-ce37-4074-be5a-e9624bf08485","cafetaria-borgvliet-bergen-op-zoom","Cafetaria Borgvliet","Bergen op Zoom","Netherlands","osm-import-2026-04","https://cafetariaborgvliet.nl","ham:6,chicken:5,bacon:3,turkey:2"
"5","5","ee8d9ab4-5914-4c05-a53d-a74bd6b3975e","one-bite-cafe-seattle","One Bite Cafe","Seattle","United States","openstreetmap","https://app.cheqplease.com/partner/one-bite-cafe-seattle","tuna:4,beef:4,ham:2,crab:1,sausage:1"
"5","3","1640e430-a51c-407f-991b-3af1b8bba230","nooch-windsor","nooch.","Windsor","Canada","osm_fresh_2026_04","https://www.noochwindsor.ca/","bacon:12,chicken:11,beef:4,turkey:3"
"5","3","922382e1-f13f-4a55-8d5b-fc74dae3a7a3","desco-lounge-shirley","Desco Lounge","Shirley","United Kingdom","foursquare-discover-2026-04-18","http://thelounges.co.uk/desco","chicken:1,duck:1,prawn:1,salmon:1,cordero:1,pescado:1"
"5","3","9b61cccc-9789-4cad-85a3-fb14b3350414","zapato-lounge-northampton","Zapato Lounge","Northampton","United Kingdom","foursquare-discover-2026-04-18","http://thelounges.co.uk/zapato","chicken:1,duck:1,prawn:1,salmon:1,cordero:1,pescado:1"
"5","3","afee77e5-47b8-43be-81c4-9b156a6d9d31","rondo-lounge-retford","Rondo Lounge","Retford","United Kingdom","foursquare-discover-2026-04-18","https://thelounges.co.uk/rondo","chicken:1,duck:1,prawn:1,salmon:1,cordero:1,pescado:1"
"5","3","f5453430-3700-41d0-b99f-e165bb26eb58","las-muns-barcelona","Las Muns","Barcelona","Spain","osm_validated_batch3","https://lasmuns.com/","pollo:5,jamón:4,ternera:4,atún:2"
"5","2","dd2f36f4-7388-408b-af9c-9af33579430a","brod-leeds","brod","Leeds","United Kingdom","osm_validated_batch3","https://www.brodsandwichbar.co.uk/","bacon:7,chicken:6,sausage:3,tuna:3,pork:2,ham:2"
"4","8","d2c4495e-84d5-4b0a-b202-87d74aba4362","natural-blend-new-york-2","Natural Blend","New York","United States","openstreetmap","http://naturalblendcafe.com/","chicken:5,fish:2,salmon:1"
"4","7","17039b7c-7823-451d-9f3d-fd593161936e","spark-pizza-redmond","Spark Pizza","Redmond","United States","osm-import-2026-04","https://sparkpizzaredmond.com","pepperoni:3,crab:2,sausage:1"
"4","7","2ae71e0f-db31-4553-b1ce-1f42a686db8e","samstagsmarkt-leipzig","Samstagsmarkt","Leipzig","Germany","osm-import-2026-04","https://samstagsmarkt.de","fisch:3,schwein:2,wurst:2,salami:1"
"4","7","2e4f6d6b-a40f-4f0e-b1cc-be9a5c5857b8","saigon-sonne-heidelberg","Saigon Sonne","Heidelberg","Germany","osm-import-2026-04","https://www.saigon-heidelberg.de/","ente:4,lachs:1,fish:1"
"4","7","8be5e578-5a68-42d9-9650-63dbc629d9c3","futtertrog-suddorf","Futtertrog","Suddorf","Germany","osm-import-2026-04","https://www.hof-martinen.de/der-hof-laden/","rind:4,salami:2,beef:2"
"4","7","9c1c969a-564d-492e-90d5-acd187af7813","lucy-s-vietnamese-united-states","Lucy's Vietnamese","","United States","osm-import-2026-04","https://grandst.lucysvietnamese.com/","fish:9,chicken:7,shrimp:3"
"4","7","c73b62de-6917-48dd-a164-3047b6b7c78f","oberwirt-perach-perach","Oberwirt Perach","Perach","Germany","osm-import-2026-04","https://oberwirt-perach.de/","ham:3,hähnchen:1,schwein:1"
"4","7","e8289795-ce20-423e-94eb-2ed332fabc1f","gurkha-s-restaurant","Gurkha's Restaurant","","United States","osm-import-2026-04","https://gurkhasrestaurant.com/","lamb:2,shrimp:2,chicken:2,pork:1"
"4","6","183520d3-2a21-47f9-acb0-40146a007f26","amuni-bruges","Amunì","Bruges","Belgium","osm-import-2026-04","https://www.amuni.be/","ham:6,salami:2,prosciutto:2,salsiccia:1"
